 Nave, G., Johansson, S., Learner, R.C.M., Thorne, A.P., Brault, J.W. 1994.
  ApJSupp 94, 221-459.
 Schoenfeld, W.G., Chang, E.S., Geller, M., Johansson, S., Nave, G.,
  Sauval, A.J., and Grevesse, N. 1995. A&A, 301, 593-601.
   4.0  60754.71 ?    d6(1D)4s4p(1P) 3F   1Dsp1P 3F    not in Nave
   3.0     53773.590             d6(3D)4s4p(3P)4p 5F      3Dsp3P 5F  typo 
       in Sugar and Corliss 53733.583

   4.0     50423.134     1.514   3d6 4s(6D)4d f5D         s6D)4d f5D
   3.0  @  50433.022             d6(5D)4s(6D)5p n7F       s6D)5p n7F
   4.0     50475.285     1.585   3d6 4s(6D)4d e7P         s6D)4d e7P
   6.0     50522.941     1.351   3d6 4s(6D)4d e5G         s6D)4d e5G
   3.0     50534.394     1.615   3d6 4s(6D)4d f5D         s6D)4d f5D
   2.0  @  50555.759             d6(5D)4s(6D)5p n7F       s6D)5p n7F
   3.0  @  50586.875     1.018   d7(2G)4p z1F             (2G)4p z1F
   3.0     50611.258     1.687   3d6 4s(6D)4d e7P         s6D)4d e7P
   4.0  @  50613.980     0.978   d6(a3F)4s4p(3P) x1G      3Fsp3P x1G
   1.0  @  50627.433             d6(5D)4s(6D)5p n7F       s6D)5p n7F
   3.0  @  50628.369             d6(5D)4s(6D)5p n7P       s6D)5p n7P
   7.0     50651.629             3d6 4s(6D)4d e7G         s6D)4d e7G
   0.0  @  50659.680             d6(5D)4s(6D)5p 7F        s6D)5p n7F
   2.0     50698.617     1.614   3d6 4s(6D)4d f5D         s6D)4d f5D
   5.0     50703.867     1.360   3d6 4s(6D)4d e5G         s6D)4d e5G
   4.0     50807.994     1.574   3d6 4s(6D)4d f7D         s6D)4d f7D
   5.0     50833.435     1.505   3d6 4s(6D)4d e7F         s6D)4d e7F
   2.0     50861.324             3d6 4s(6D)4d e7P         s6D)4d e7P
   3.0     50861.813             3d6 4s(6D)4d f7D         s6D)4d f7D
   1.0     50880.099     1.662   3d6 4s(6D)4d f5D         s6D)4d f5D
   2.0  @  50901.169             d6(5D)4s(6D)5p n7P       s6D)5p n7P
   6.0     50967.828     1.415   3d6 4s(6D)4d e7G         s6D)4d e7G
   4.0     50979.576     1.238   3d6 4s(6D)4d e5G         s6D)4d e5G
   0.0     50981.009             3d6 4s(6D)4d f5D         s6D)4d f5D
   2.0     50998.642     1.844   3d6 4s(6D)4d f7D         s6D)4d f7D
   5.0  @  51016.657             d6(5D)4s(6D)5p u5F       s6D)5p u5F
   6.0  @  51023.159     1.161   d6(3G)4s4p(3P) x3H       3Gsp3P x3H
   1.0     51048.104             3d6 4s(6D)4d f7D         s6D)4d f7D
   5.0  @  51068.715     1.038   d6(3G)4s4p(3P) x3H       3Gsp3P x3H
