#  lambda[Å] A_ki[s⁻¹] loggf   Acc  Ei[cm⁻¹]   Ek[cm⁻¹]  cfg_i                term_i     cfg_k                  term_k   gi  gk rtype ref1          ref2
  1960.14400   None    None   None     0.000  51016.660  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       9  11 None None           L11631  
  1960.61901   None    None   None   704.007  51708.307  3d6.4s2               a5D       3d7.(2P).4p           y1D*       5  5  None None        L11631c80  
  1961.04613   None    None   None   415.933  51409.124  3d6.4s2               a5D       3d6.(3G).4s.4p.(3P*)  x3H*       7  9  None None           L11631  
  1961.24567   None    None   None   704.007  51692.010  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5P*       5  7  None None           L11631  
  1962.02528   None    None   None   978.074  51945.817  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       1  3  None None           L11631 
  1962.11070   None    None   None   415.933  51381.457  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       7  9  None None           L11631  
  1962.73250   None    None   None   415.933  51365.311  3d6.4s2               a5D       3d7.(2D2).4p          v3F*       7  7  None None           L11631  
  1962.88352   None    None   None   415.933  51361.391  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       7  7  None None           L11631  
  1963.10455   None    None   None   888.132  51827.854  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       3  3  None None           L11631  
  1963.12154   None    None   None   888.132  51827.413  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       3  5  None None           L11631 
  1963.63374   None    None   None   704.007  51630.001  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       5  5  None None           L11631  
  1964.05508   None    None   None   704.007  51619.076  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   u5F*       5  7  None None           L11631  
  1965.07392   None    None   None   415.933  51304.604  3d6.4s2               a5D       3d7.(2D2).4p          v3F*       7  9  None None        L11631c80  
  1966.57685   None    None   None   978.074  51827.854  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       1  3  None None        L11631c80  
  1967.12710   None    None   None  6928.268  57763.824  3d7.(4F).4s           a5F       3d6.4s.(4D).5p         5D*      11  9  None None        L11631c80 
  1970.75910   None    None   None   888.132  51630.001  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       3  5  None None        L11631c80  
  1973.91686   None    None   None   415.933  51076.628  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       7  9  None None           L11631  
  1974.04588   None    None   None   704.007  51361.391  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   t5D*       5  7  None None        L11631c80  
  1975.17708   None    None   None     0.000  50628.372  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       9  7  None None        L11631c80  
  1976.18663   None    None   None  7728.060  58330.568  3d7.(4F).4s           a5F       3d6.4s.(4D).5p         5D*       7  5  None None        L11631c80 
  1979.76855   None    None   None  6928.268  57439.223  3d7.(4F).4s           a5F       3d6.4s.(6D<5/2>).4f    2[9/2]*  11  9  None None        L11631c80  
  1980.77700   None    None   None   415.933  50901.172  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       7  5  None None        L11631c80  
  1984.63653   None    None   None  7376.764  57763.824  3d7.(4F).4s           a5F       3d6.4s.(4D).5p         5D*       9  9  None None        L11631c80  
  1987.94411   None    None   None     0.000  50303.225  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7F*       9  9  None None        L11631c81  
  1991.04416   None    None   None  6928.268  57153.171  3d7.(4F).4s           a5F       3d6.4s.(6D<7/2>).4f    2[13/2]* 11  13 None None        L11631c80 
  1991.25774   None    None   None  6928.268  57147.784  3d7.(4F).4s           a5F       3d6.4s.(6D<7/2>).4f    2[11/2]* 11  11 None None        L11631c80  
  1991.53839   None    None   None   415.933  50628.372  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       7  7  None None        L11631c80  
  1992.14438   None    None   None   704.007  50901.172  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       5  5  None None        L11631c80  
  1992.59778   None    None   None     0.000  50185.743  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7P*       9  9  None None        L11631c80  
  1994.57165   None    None   None  6928.268  57064.346  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         5F*      11  9  None None           L11631 
  1997.50476   None    None   None  7376.764  57439.223  3d7.(4F).4s           a5F       3d6.4s.(6D<5/2>).4f    2[9/2]*   9  9  None None        L11631c80  
  1997.55643   None    None   None  7376.764  57437.928  3d7.(4F).4s           a5F       3d6.4s.(6D<5/2>).4f    2[9/2]*   9  11 None None        L11631c80  
  1997.56150   None    None   None  7376.764  57437.801  3d7.(4F).4s           a5F       3d6.4s.(6D<5/2>).4f    2[7/2]*   9  9  None None        L11631c80  
  1997.91442   None    None   None     0.000  50052.194  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7F*       9  11 None None           L11631  
  1999.31655   None    None   None   415.933  50433.025  3d6.4s2               a5D       3d6.(5D).4s.(6D).5p   n7F*       7  7  None None        L11631c80 
  2001.22539   None    None   None  7376.764  57346.148  3d7.(4F).4s           a5F       3d6.(3D).4s.4p.(1P*)   3D*       9  7  None None        L11631c80  
  2001.31830   None    None   None  7376.764  57343.828  3d7.(4F).4s           a5F       3d6.4s.(6D).6p         5F*       9  7  None None        L11631c80  
