#lambda[Å] A_ki[s⁻¹] loggf Acc   Ei[cm⁻¹]    Ek[cm⁻¹] cfg_i     term_i cfg_k                term_k    gi  gk rtype  ref1     ref2
  3534.067 8.81e+07 -0.305  A   264924.32  293220.33  2s2.2p5.3s  3P*  2s2.2p5.3p             3S       5  3  None     T7663  L914
  3632.307 3.72e+07 -0.656  A   265689.62  293220.33  2s2.2p5.3s  3P*  2s2.2p5.3p             3S       3  3  None     T7663  L914
  3712.130 1.02e+07 -1.199  B+  266281.62  293220.33  2s2.2p5.3s  3P*  2s2.2p5.3p             3S       1  3  None     T7663  L914
  4088.747 3.81e+05 -2.542  C   268762.96  293220.33  2s2.2p5.3s  1P*  2s2.2p5.3p             3S       3  3  None     T7663  L914
  4114.864 3.7e+07  -0.55   D   308860.80  333162.94  2s2.2p5.3p  1S   2s2.2p5.(2P*<1/2>).3d  2[3/2]*  1  3  None  T6036c80  L914
  4124.232 2.7e+07  -0.69   C   308860.80  333107.74  2s2.2p5.3p  1S   2s2.2p5.(2P*<1/2>).4s  2[1/2]*  1  3  None  T7663c80  L914
  4345.345 4.32e+07 -0.435  B+  308860.80  331873.93  2s2.2p5.3p  1S   2s2.2p5.(2P*<3/2>).4s  2[3/2]*  1  3  None     T7663  L914
  4369.816 3.59e+07 -0.511  B   308860.80  331745.06  2s2.2p5.3p  1S   2s2.2p5.(2P*<3/2>).3d  2[3/2]*  1  3  None     T6036  L914
  4592.222 2.0e+06  -1.7    E   308860.80  330636.75  2s2.2p5.3p  1S   2s2.2p5.(2P*<3/2>).3d  2[1/2]*  1  3  None  T6036c79  L914
 13723.48  6.91e-02  None   D+  293220.33  300507.11  2s2.2p5.3p  3S   2s2.2p5.3p             3P       3  3   M1      T7663  None
 13951.88  1.12e-01  None   D+  293220.33  300387.82  2s2.2p5.3p  3S   2s2.2p5.3p             3P       3  1   M1      T7663  None
 14527.30  1.70e-02  None   D+  293220.33  300103.92  2s2.2p5.3p  3S   2s2.2p5.3p             3P       3  5   M1      T7663  None
 16751.45  4.84e-03  None   D   293220.33  299189.96  2s2.2p5.3p  3S   2s2.2p5.3p             1D       3  5   M1      T7663  None
 26050     5.52e-02  None   C+  264924.32  268762.96  2s2.2p5.3s  3P*  2s2.2p5.3s             1P*      5  3   M1      T7663  None
 32537     1.63e-02  None   C   265689.62  268762.96  2s2.2p5.3s  3P*  2s2.2p5.3s             1P*      3  3   M1      T7663  None
 34825     4.29e-03  None   D+  297635.61  300507.11  2s2.2p5.3p  3D   2s2.2p5.3p             3P       5  3   M1      T7663  None
 35025     4.57e-02  None   B   297248.82  300103.92  2s2.2p5.3p  3D   2s2.2p5.3p             3P       7  5   M1      T7663  None
 40300     1.19e-02  None   C   266281.62  268762.96  2s2.2p5.3s  3P*  2s2.2p5.3s             1P*      1  3   M1      T7663  None
 40513     3.60e-04  None   D   297635.61  300103.92  2s2.2p5.3p  3D   2s2.2p5.3p             3P       5  5   M1      T7663  None
 42704     4.72e-03  None   C   298165.44  300507.11  2s2.2p5.3p  3D   2s2.2p5.3p             3P       3  3   M1      T7663  None
 44449     2.36e-02  None   B   297635.61  299885.37  2s2.2p5.3p  3D   2s2.2p5.3p             1P       5  3   M1      T7663  None
 44996     1.89e-02  None   C   298165.44  300387.82  2s2.2p5.3p  3D   2s2.2p5.3p             3P       3  1   M1      T7663  None
 51516     6.90e-03  None   C+  297248.82  299189.96  2s2.2p5.3p  3D   2s2.2p5.3p             1D       7  5   M1      T7663  None
 51586     4.31e-03  None   C+  298165.44  300103.92  2s2.2p5.3p  3D   2s2.2p5.3p             3P       3  5   M1      T7663  None
 58141     9.80e-03  None   C+  298165.44  299885.37  2s2.2p5.3p  3D   2s2.2p5.3p             1P       3  3   M1      T7663  None
 64335     2.72e-03  None   C+  297635.61  299189.96  2s2.2p5.3p  3D   2s2.2p5.3p             1D       5  5   M1      T7663  None
 73675     1.00e-07  None   C+  264924.32  266281.62  2s2.2p5.3s  3P*  2s2.2p5.3s             3P*      5  1   E2      T5256  None
 75921     1.01e-02  None   B   299189.96  300507.11  2s2.2p5.3p  1D   2s2.2p5.3p             3P       5  3   M1      T7663  None
 97606     1.73e-03  None   B   298165.44  299189.96  2s2.2p5.3p  3D   2s2.2p5.3p             1D       3  5   M1      T7663  None
109414     5.75e-03  None   B+  299189.96  300103.92  2s2.2p5.3p  1D   2s2.2p5.3p             3P       5  5   M1      T7663  None
