 #lambda[Å] A_ki[s⁻¹]   loggf   Acc  Ei[cm⁻¹] Ek[cm⁻¹]   cfg_i             term_i   cfg_k               term_k    gi  gk rtype  ref1   ref2
  2129.871  4.61e+08    0.341 None  180392.7  227343.9   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[5/2]      5  7  None  T8304  L12188
  2131.365  4.00e+08    0.134 None  180448.9  227367.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[5/2]      3  5  None  T8304  L12188
  2133.615  5.12e+07   -0.502 None  180618.7  227487.5   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[7/2]      7  9  None  T8304  L12188
  2133.738  1.09e+08   -0.283 None  180618.7  227484.8   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[7/2]      7  7  None  T8304  L12188
  2139.106  1.06e+07   -1.439 None  180618.7  227367.2   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[5/2]      7  5  None  T8304  L12188
  2139.930  1.64e+08   -0.250 None  180392.7  227123.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[3/2]      5  5  None  T8304  L12188
  2140.172  3.98e+07   -0.718 None  180618.7  227343.9   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[5/2]      7  7  None  T8304  L12188
  2140.952  1.62e+07   -1.476 None  180392.7  227100.9   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[3/2]      5  3  None  T8304  L12188
  2142.507  2.03e+07   -1.156 None  180448.9  227123.2   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[3/2]      3  5  None  T8304  L12188
  2143.531  8.69e+07   -0.746 None  180448.9  227100.9   3p5.3d             3D*     3p5.(2P*<3/2>).4f  2[3/2]      3  3  None  T8304  L12188
  2145.374  6.90e+08    0.632 None  180618.7  227230.6   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[9/2]      7  9  None  T8304  L12188
  2150.329  2.99e+06   -1.984 None  180618.7  227123.2   3p5.3d             1F*     3p5.(2P*<3/2>).4f  2[3/2]      7  5  None  T8304  L12188
  2778.704  2.82e+07   -0.787 None  183204.1  219192.1   3p5.4p             3S      3p5.4d             3D*         3  5  None  T8304   L3490
  3048.009  1.92e+07   -0.874 None  186383.8  219192.1   3p5.4p             3D      3p5.4d             3D*         7  5  None  T8304   L3490
  3063.031  8.82e+08    0.793 None  183204.1  215851.5   3p5.4p             3S      3p5.4d             3P*         3  5  None  T8304   L3490
  3075.910  4.30e+07   -0.516 None  186681.4  219192.1   3p5.4p             3D      3p5.4d             3D*         5  5  None  T8304   L3490
  3105.899  4.97e+08    0.334 None  183204.1  215400.9   3p5.4p             3S      3p5.4d             3P*         3  3  None  T8304   L3490
  3143.616  1.98e+08   -0.055 None  183204.1  215014.6   3p5.4p             3S      3p5.(2P*<1/2>).5s  2[1/2]*     3  3  None  T8304   L3490
  3158.051  2.73e+07   -0.690 None  187527.0  219192.1   3p5.4p             3D      3p5.4d             3D*         3  5  None  T8304   L3490
  3172.730  1.09e+08   -0.784 None  183204.1  214722.7   3p5.4p             3S      3p5.(2P*<1/2>).5s  2[1/2]*     3  1  None  T8304   L3490
  3190.963  3.19e+08    0.533 None  186383.8  217722.3   3p5.4p             3D      3p5.4d             3D*         7  7  None  T8304   L3490
  3221.463  2.52e+08    0.292 None  188150.3  219192.1   3p5.4p             1D      3p5.4d             3D*         5  5  None  T8304  L12188
  3221.556  1.79e+08    0.290 None  186681.4  217722.3   3p5.4p             3D      3p5.4d             3D*         5  7  None  T8304  L12188
