# Extracted from fe2.en.ls.txt from NORAD
#E[cm⁻¹]  g cfg              term                 
111718.1  36 3d6.(5D).5g     i4G        
112421.5  36 3d6.(5D).6d     j4G        
116354.5  36 3d6.(3D).4d     k4G        
117086.4  36 3d6.(5D).6g     l4G        
117530.9  36 3d6.(5D).7d     m4G        
120325.9  36 3d6.(5D).7g     n4G        
120339.0  36 3d6.(5D).7i     o4G        
120621.1  36 3d6.(5D).8d     p4G        
122429.5  36 3d6.(5D).8g     q4G        
122438.3  36 3d6.(5D).8i     r4G        
122632.6  36 3d6.(5D).9d     s4G        
123871.5  36 3d6.(5D).9g     t4G        
123878.1  36 3d6.(5D).9i     u4G        
124017.4  36 3d6.(5D)10d     v4G        
124901.9  36 3d6.(5D)10g     w4G        
 61333.3  44 3d6.(3H).4p     z4H*       
 67083.5  44 3d6.(3G).4p     y4H*       
 88767.6  44 3d5.4s.(5G).4p  x4H*       
100698.3  44 3d5.4s.(3I).4p  w4H*       
101772.6  44 3d6.(5D).4f     v4H*       
107243.0  44 3d5.4s.(3G).4p  u4H*       
109317.0  44 3d6.(3H).5p     t4H*       
111697.2  44 3d6.(5D).5f     s4H*       
113329.0  44 3d6.(3G).5p     r4H*       
114155.3  44 3d5.4s.(3G).4p  q4H*       
114629.4  44 3d5.4s.(5G).5p  p4H*       
117066.7  44 3d6.(5D).6f     o4H*       
117102.9  44 3d6.(5D).6h     n4H*       
120311.6  44 3d6.(5D).7f     m4H*       
120337.9  44 3d6.(5D).7h     l4H*       
122418.6  44 3d6.(5D).8f     k4H*       
123862.7  44 3d6.(5D).9f     j4H*       
124896.4  44 3d6.(5D)10f     i4H*       
124907.4  44 3d6.(5D).8k     h4H*       
 23606.7  44 3d6.(3H).4s     a4H        
102913.9  44 3d6.(3H).5s     b4H        
106213.7  44 3d6.(3H).4d     c4H        
108017.7  44 3d6.(3F).4d     d4H        
109217.2  44 3d6.(3G).4d     e4H        
111715.9  44 3d6.(5D).5g     f4H        
117085.3  44 3d6.(5D).6g     g4H        
120325.9  44 3d6.(5D).7g     h4H        
120339.0  44 3d6.(5D).7i     i4H        
122428.4  44 3d6.(5D).8g     j4H        
122438.3  44 3d6.(5D).8i     k4H        
123870.4  44 3d6.(5D).9g     l4H        
123878.1  44 3d6.(5D).9i     m4H        
124901.9  44 3d6.(5D)10g     n4H        
 61320.1  52 3d6.(3H).4p     z4I*       
 98456.3  52 3d5.4s.(3I).4p  y4I*       
110079.7  52 3d6.(3H).5p     x4I*       
113451.9  52 3d5.4s.(3H).4p  w4I*       
117102.9  52 3d6.(5D).6h     v4I*       
120336.8  52 3d6.(5D).7h     u4I*       
122437.2  52 3d6.(5D).8h     t4I*       
122438.3  52 3d6.(5D).8k     s4I*       
123877.0  52 3d6.(5D).9h     r4I*       
123878.1  52 3d6.(5D).9k     q4I*       
124907.4  52 3d6.(5D)10k     p4I*       
106182.9  52 3d6.(3H).4d     a4I        
109412.5  52 3d6.(3G).4d     b4I        
111742.2  52 3d6.(5D).5g     c4I        
117105.1  52 3d6.(5D).6g     d4I        
120337.9  52 3d6.(5D).7i     e4I        
120340.1  52 3d6.(5D).7g     f4I        
122438.3  52 3d6.(5D).8g     g4I        
122439.4  52 3d6.(5D).8i     h4I        
123877.0  52 3d6.(5D).9g     i4I        
123878.1  52 3d6.(5D).9i     j4I        
124907.4  52 3d6.(5D)10g     k4I        
 97997.6  60 3d5.4s.(3I).4p  z4K*       
117104.0  60 3d6.(5D).6h     y4K*       
120339.0  60 3d6.(5D).7h     x4K*       
122438.3  60 3d6.(5D).8h     w4K*       
122438.3  60 3d6.(5D).8k     v4K*       
123878.1  60 3d6.(5D).9k     u4K*       
123878.1  60 3d6.(5D).9h     t4K*       
124907.4  60 3d6.(5D)10k     s4K*       
106029.3  60 3d6.(3H).4d     a4K        
120339.0  60 3d6.(5D).7i     b4K        
122438.3  60 3d6.(5D).8i     c4K        
123878.1  60 3d6.(5D).9i     d4K        
124907.4  60 3d6.(5D)10i     e4K        
122438.3  68 3d6.(5D).8k     z4L*       
123878.1  68 3d6.(5D).9k     y4L*       
124907.4  68 3d6.(5D)10k     x4L*       
120339.0  68 3d6.(5D).7i     a4L        
122438.3  68 3d6.(5D).8i     b4L        
123878.1  68 3d6.(5D).9i     c4L        
122438.3  76 3d6.(5D).8k     z4M*       
123878.1  76 3d6.(5D).9k     y4M*       
 42746.0   2 3d6.(1S).4s     a2S        
 91519.8   2 3d6.(5D).0s     b2S        
114233.3   2 3d6.(1S).5s     c2S        
116529.0   2 3d6.(1S).4s     d2S        
119310.8   2 3d6.(3D).4d     e2S        
122543.7   2 3d6.(1D).4d     f2S        
 69035.7   2 3d6.(3P).4p     z2S*       
 94075.6   2 3d6.(3P).4p     y2S*       
105998.6   2 3d5.4s.(3P).4p  x2S*       
110428.7   2 3d6.(3P).5p     w2S*       
126225.4   2 3d6.(3P).6p     v2S*       
126692.8   2 3d6.(3F).4f     u2S*       
 28908.1   6 3d7.(5D).0s     a2P         # Identified in NIST
 33128.6   6 3d6.(3P).4s     b2P        
 63731.0   6 3d6.(3P).4s     c2P        
 99122.4   6 3d6.(3P).5s     d2P        
106310.2   6 3d6.(3P).4d     e2P        
111211.1   6 3d6.(3F).4d     f2P        
119503.9   6 3d6.(3D).4d     g2P        
121449.6   6 3d6.(3P).6s     h2P        
122849.8   6 3d6.(1D).4d     i2P        
124847.1   6 3d6.(3P).5d     j2P        
128346.6   6 3d6.(3F).5d     k2P        
128626.4   6 3d6.(1F).4d     l2P        
 67487.4   6 3d6.(3P).4p     z2P*       
 76052.4   6 3d6.(3D).4p     y2P*       
 80695.3   6 3d6.(1S).4p     x2P*       
 83972.1   6 3d6.(1D).4p     w2P*       
 97446.7   6 3d6.(3P).4p     v2P*       
101497.1   6 3d5.4s.(3P).4p  u2P*       
107338.5   6 3d5.4s.(3D).4p  t2P*       
109900.8   6 3d6.(3P).5p     s2P*       
113518.9   6 Eqv_st(0S).0s   r2P*       
123947.2   6 3d6.(1S).5p     q2P*       
124561.7   6 3d6.(3D).5p     p2P*       
125163.1   6 3d6.(1D).5p     o2P*       
126154.0   6 3d6.(3P).6p     n2P*       
126612.7   6 3d6.(3F).4f     m2P*       
126672.0   6 3d6.(3G).4f     l2P*       
127952.6   6 Eqv_st(0S).0s   k2P*       
 31674.6  10 3d7.(0S).0s     a2D         # Identified in NIST
 41879.1  10 3d6.(3D).4s     b2D        
 46285.0  10 3d6.(1D).4s     c2D        
 62053.2  10 3d7.(0S).0s     d2D         # Identified in NIST
 74790.4  10 3d5.4s.(3D).4s  e2D        
