#E[cm⁻¹]     g  configuration         term  p  ref
129683       3  2s2.2p3.(2D*<5/2>).4d  1P*  o  NIST
129692.3     7  2s2.2p3.(2D*<5/2>).4d  3D*  o  NIST
129693.488   7  2s2.2p3.(2D*).4d       3G*  o  NIST
129697.5     5  2s2.2p3.(2D*<5/2>).4d  3D*  o  NIST
129699.521   9  2s2.2p3.(2D*<3/2>).4d  1G*  o  NIST
129703.0     3  2s2.2p3.(2D*<5/2>).4d  3D*  o  NIST
129731       5  2s2.2p3.(2D*<3/2>).4d  1D*  o  NIST
129736.6     3  2s2.2p3.(2D*<3/2>).4d  3S*  o  NIST
129737.052   7  2s2.2p3.(2D*<3/2>).4d  1F*  o  NIST
129777.940  11  2s2.2p3.(2D*).4f       3G   e  NIST
129779.919  11  2s2.2p3.(2D*).4f       3H   e  NIST
129779.929  13  2s2.2p3.(2D*).4f       3H   e  NIST
129799.831  11  2s2.2p3.(2D*).4f       1H   e  NIST
129970.000   5  2s2.2p3.(2D*<3/2>).4d  3P*  o  NIST
129979.384   3  2s2.2p3.(2D*<3/2>).4d  3P*  o  NIST
129984.553   1  2s2.2p3.(2D*<3/2>).4d  3P*  o  NIST
130942.923   1  2s2.2p3.(2P*).3p       1S   e  NIST
131854.5     7  2s2.2p3.(2D*).6s       3D*  o  NIST
131865.5     5  2s2.2p3.(2D*).6s       3D*  o  NIST
131876.1     3  2s2.2p3.(2D*).6s       3D*  o  NIST
131936       5  2s2.2p3.(2D*<3/2>).6s  1D*  o  NIST
132190.671   9  2s2.2p3.(2D*<5/2>).5d  3F*  o  NIST
132198.046   9  2s2.2p3.(2D*).5d       3G*  o  NIST
132198.396  11  2s2.2p3.(2D*).5d       3G*  o  NIST
132203       3  2s2.2p3.(2D*<5/2>).5d  1P*  o  NIST
132203.4     7  2s2.2p3.(2D*<5/2>).5d  3D*  o  NIST
132213.8     5  2s2.2p3.(2D*<5/2>).5d  3D*  o  NIST
132217.679   9  2s2.2p3.(2D*<3/2>).5d  1G*  o  NIST
132218.1     3  2s2.2p3.(2D*<5/2>).5d  3D*  o  NIST
132232.6     3  2s2.2p3.(2D*<3/2>).5d  3S*  o  NIST
132235       5  2s2.2p3.(2D*<3/2>).5d  1D*  o  NIST
132240       7  2s2.2p3.(2D*<3/2>).5d  1F*  o  NIST
132311.1     5  2s2.2p3.(2D*<3/2>).5d  3P*  o  NIST
132316.2     3  2s2.2p3.(2D*<3/2>).5d  3P*  o  NIST
133369.8     7  2s2.2p3.(2D*).7s       3D*  o  NIST
133378.8     5  2s2.2p3.(2D*).7s       3D*  o  NIST
133390.2     3  2s2.2p3.(2D*).7s       3D*  o  NIST
133421       5  2s2.2p3.(2D*<3/2>).7s  1D*  o  NIST
133566.8     3  2s2.2p3.(2D*<5/2>).6d  3D*  o  NIST
133566.8     7  2s2.2p3.(2D*<5/2>).6d  3D*  o  NIST
133566.8     5  2s2.2p3.(2D*<5/2>).6d  3D*  o  NIST
133569       3  2s2.2p3.(2D*<5/2>).6d  1P*  o  NIST
133577.9     3  2s2.2p3.(2D*<3/2>).6d  3S*  o  NIST
133587       5  2s2.2p3.(2D*<3/2>).6d  1D*  o  NIST
133591       7  2s2.2p3.(2D*<3/2>).6d  1F*  o  NIST
133622.0     5  2s2.2p3.(2D*<3/2>).6d  3P*  o  NIST
133626.5     3  2s2.2p3.(2D*<3/2>).6d  3P*  o  NIST
134265.3     7  2s2.2p3.(2D*).8s       3D*  o  NIST
134273.4     5  2s2.2p3.(2D*).8s       3D*  o  NIST
134285.1     3  2s2.2p3.(2D*).8s       3D*  o  NIST
134305       5  2s2.2p3.(2D*<3/2>).8s  1D*  o  NIST
134385.0     3  2s2.2p3.(2D*<5/2>).7d  3D*  o  NIST
134385.0     5  2s2.2p3.(2D*<5/2>).7d  3D*  o  NIST
134385.0     7  2s2.2p3.(2D*<5/2>).7d  3D*  o  NIST
134387       3  2s2.2p3.(2D*<5/2>).7d  1P*  o  NIST
134402.5     3  2s2.2p3.(2D*<3/2>).7d  3S*  o  NIST
134409       5  2s2.2p3.(2D*<3/2>).7d  1D*  o  NIST
134409       7  2s2.2p3.(2D*<3/2>).7d  1F*  o  NIST
134421.4     5  2s2.2p3.(2D*<3/2>).7d  3P*  o  NIST
134426.5     3  2s2.2p3.(2D*<3/2>).7d  3P*  o  NIST
134839.0     7  2s2.2p3.(2D*).9s       3D*  o  NIST
134843.7     5  2s2.2p3.(2D*).9s       3D*  o  NIST
134869       5  2s2.2p3.(2D*<3/2>).9s  1D*  o  NIST
134919.2     7  2s2.2p3.(2D*<5/2>).8d  3D*  o  NIST
134919.2     3  2s2.2p3.(2D*<3/2>).8d  3S*  o  NIST
134919.2     3  2s2.2p3.(2D*<5/2>).8d  3D*  o  NIST
